Geography,date,Count
PSE,2020-04-30,96.30000000000003
QAT,2020-04-30,85.27599999999994
ROU,2020-04-30,87.03999999999998
RUS,2020-04-30,85.49833333333338
RWA,2020-04-30,90.73999999999995
SAU,2020-04-30,91.72933333333337
SDN,2020-04-30,81.729
SEN,2020-04-30,77.78
SGP,2020-04-30,69.25766666666664
SLE,2020-04-30,76.54500000000004
SLV,2020-04-30,90.74000000000004
SMR,2020-04-30,88.51700000000001
SOM,2020-04-30,57.72000000000003
SRB,2020-04-30,98.4886666666667
SSD,2020-04-30,82.19384615384612
STP,2020-04-30,
SUR,2020-04-30,80.55833333333334
SVK,2020-04-30,76.85300000000002
SVN,2020-04-30,88.083
SWE,2020-04-30,64.25499999999997
SWZ,2020-04-30,86.78833333333337
SYC,2020-04-30,83.64366666666665
SYR,2020-04-30,86.29933333333332
TCD,2020-04-30,66.48100000000004
TGO,2020-04-30,73.02633333333337
THA,2020-04-30,76.26399999999995
TJK,2020-04-30,40.74
TLS,2020-04-30,76.29766666666667
TTO,2020-04-30,81.11133333333335
TUN,2020-04-30,90.73999999999995
TUR,2020-04-30,76.17666666666668
TWN,2020-04-30,31.48000000000001
TZA,2020-04-30,48.98066666666667
UGA,2020-04-30,93.52
UKR,2020-04-30,88.89000000000001
URY,2020-04-30,65.98566666666665
USA,2020-04-30,72.69000000000004
UZB,2020-04-30,91.29599999999999
VAT,2020-04-30,
VCT,2020-04-30,
VEN,2020-04-30,82.41
VNM,2020-04-30,88.81400000000001
YEM,2020-04-30,41.31333333333333
ZAF,2020-04-30,87.96000000000002
ZMB,2020-04-30,57.686333333333316
ZWE,2020-04-30,87.96000000000002
AFG,2020-05-31,84.26000000000005
AGO,2020-05-31,78.52483870967747
ALB,2020-05-31,87.42161290322579
AND,2020-05-31,50.89677419354838
ARE,2020-05-31,74.43225806451612
ARG,2020-05-31,90.26258064516122
ARM,2020-05-31,
ATG,2020-05-31,
AUS,2020-05-31,67.35225806451615
AUT,2020-05-31,60.60193548387096
AZE,2020-05-31,82.55838709677425
BDI,2020-05-31,13.889999999999992
BEL,2020-05-31,76.55225806451612
BEN,2020-05-31,61.91806451612907
BFA,2020-05-31,65.62322580645166
BGD,2020-05-31,90.61935483870965
BGR,2020-05-31,61.23096774193551
BHR,2020-05-31,75.0
BHS,2020-05-31,95.82129032258068
