Geography,Indicator,Count
TWN,Population density,
TJK,Population density,64.281
TZA,Population density,64.699
THA,Population density,135.132
TLS,Population density,87.176
TGO,Population density,143.366
TTO,Population density,266.88599999999997
TUN,Population density,74.22800000000001
TUR,Population density,104.914
UGA,Population density,213.75900000000001
UKR,Population density,77.39
ARE,Population density,112.44200000000001
GBR,Population density,272.89799999999997
USA,Population density,35.608000000000004
URY,Population density,19.750999999999998
UZB,Population density,76.134
VUT,Population density,22.662
VAT,Population density,
VEN,Population density,36.253
VNM,Population density,308.127
OWID_WRL,Population density,58.045
YEM,Population density,53.508
ZMB,Population density,22.995
ZWE,Population density,42.729
